indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Pancreatic Cancer,PHASE2,33,14,12.0,0.8571428571428571,0.807142857142857,0.9071428571428571,False
Skin Melanoma,PHASE1,7,6,5.0,0.8333333333333334,0.7833333333333333,0.8833333333333334,False
Solid Tumors,PHASE1,74,44,37.0,0.8409090909090909,0.7909090909090909,0.890909090909091,False
Ovarian Cancer,PHASE3,2,0,0.0,,,,True
Probiotics,PHASE2,1,0,0.0,,,,True
Nasopharyngeal Cancer,PHASE2,6,2,2.0,1.0,0.95,1.05,False
Cytokine Release Syndrome,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Head and Neck Squamous Cell Carcinoma,PHASE3,5,2,1.0,0.5,0.45,0.55,False
Transfusion-dependent Anemia,PHASE4,1,0,0.0,,,,True
Leukemia,PHASE1,11,9,7.0,0.7777777777777778,0.7277777777777777,0.8277777777777778,False
Chronic Graft Versus Host Disease,PHASE2,3,2,2.0,1.0,0.95,1.05,False
Intrahepatic Cholangiocarcinoma,PHASE2,3,0,0.0,,,,True
Bile Duct Cancer,PHASE2,3,2,2.0,1.0,0.95,1.05,False
Male Reproductive System Neoplasm,PHASE2,10,7,7.0,1.0,0.95,1.05,False
High-Grade Glioma,PHASE1,4,1,1.0,1.0,0.95,1.05,False
Extrahepatic Cholangiocarcinoma,PHASE1,1,0,0.0,,,,True
Head and Neck Squamous Cell Carcinoma,EARLY_PHASE1,2,2,1.0,0.5,0.45,0.55,False
Female Reproductive System Neoplasm,PHASE2,23,7,6.0,0.8571428571428571,0.807142857142857,0.9071428571428571,False
Ependymoma,PHASE1,2,1,1.0,1.0,0.95,1.05,False
Mismatch Repair Proficient,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Bone Sarcoma,PHASE3,1,0,0.0,,,,True
Gastric Cancer,UNKNOWN,4,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
HER2-Positive Breast Cancer,PHASE1,4,4,3.0,0.75,0.7,0.8,False
Urothelial Carcinoma,PHASE2,3,3,0.0,0.0,-0.05,0.05,False
Rare Neoplasm,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Mesothelioma,PHASE2,1,0,0.0,,,,True
CDK Gene Mutation,PHASE2,1,0,0.0,,,,True
High Grade B-Cell Lymphoma,PHASE2,3,2,2.0,1.0,0.95,1.05,False
Severe Aplastic Anemia,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Philadelphia chromosome-negative acute lymphoblastic leukemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Gastric Cancer,PHASE3,3,1,1.0,1.0,0.95,1.05,False
Parathyroid Cancer,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Connective and Soft Tissue Neoplasm,UNKNOWN,3,3,1.0,0.3333333333333333,0.2833333333333333,0.3833333333333333,False
Ovarian Cancer,UNKNOWN,1,0,0.0,,,,True
Acute Leukemia,PHASE3,1,0,0.0,,,,True
Anal Cancer,PHASE2,3,0,0.0,,,,True
Osteosarcoma,PHASE1,3,3,3.0,1.0,0.95,1.05,False
Acute Monocytic Leukemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Acute Myelomonocytic Leukemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Primary Immune Thrombocytopenia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Contiguous Stage II Adult Diffuse Mixed Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Noncontiguous Stage II Adult Diffuse Mixed Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Stage I Adult Diffuse Small Cleaved Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity,PHASE2,1,1,1.0,1.0,0.95,1.05,False
"Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type",PHASE4,1,0,0.0,,,,True
Cord Blood Transplant,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Endometrial Cancer,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Connective and Soft Tissue Neoplasm,PHASE3,3,3,3.0,1.0,0.95,1.05,False
Peripheral Primitive Neuroectodermal Tumor,PHASE2,2,2,2.0,1.0,0.95,1.05,False
Anemia,PHASE2,3,3,3.0,1.0,0.95,1.05,False
Salivary Gland Cancer,PHASE1,8,8,4.0,0.5,0.45,0.55,False
Neurotoxicity,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Kidney Cancer,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Acute Chest Syndrome,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Endometrial Cancer,PHASE3,1,0,0.0,,,,True
Rectal Carcinoma,PHASE1,8,8,8.0,1.0,0.95,1.05,False
Pancreatic Diseases,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Musculoskeletal Disease,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Adult Diffuse Mixed Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Advanced Stage Cancer,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Adult T-Cell Leukemia/Lymphoma,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Intraepithelial Neoplasia,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Oral Complications,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Anorectal Cancer,PHASE2,1,0,0.0,,,,True
Plasma Cell Leukemia,PHASE2,2,1,0.0,0.0,-0.05,0.05,False
Clear Cell Renal Cell Carcinoma,PHASE2,2,1,1.0,1.0,0.95,1.05,False
"Blood Loss, Surgical",PHASE4,1,0,0.0,,,,True
Connective and Soft Tissue Neoplasm,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Gliosarcoma,PHASE1,2,1,1.0,1.0,0.95,1.05,False
Paroxysmal Nocturnal Hemoglobinuria,PHASE3,1,0,0.0,,,,True
T-Cell Non-Hodgkin Lymphoma,PHASE2,7,5,0.0,0.0,-0.05,0.05,False
Castration-Resistant Prostate Carcinoma,PHASE2,7,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
